LOCALITA',STAZIONE,STATO,SPECIE,PARAMETRO,TIPO DATO,UNITA' DI MISURA,DATA,ANNO,MESE,DATO,LATITUDINE,LONGITUDINE,CHIAVE
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,29/08/2022,2022,8,"3,60",45.76743333333334,13.6308,11674480223
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,05/09/2022,2022,9,24,45.60555,13.72195,11614480920
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,05/09/2022,2022,9,3,45.60555,13.72195,11614480921
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,05/09/2022,2022,9,"1,10",45.60555,13.72195,11614480923
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,05/09/2022,2022,9,23,45.68695,13.745716666666667,11634480920
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,05/09/2022,2022,9,4,45.68695,13.745716666666667,11634480921
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,05/09/2022,2022,9,"2,50",45.68695,13.745716666666667,11634480923
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,05/09/2022,2022,9,24,45.749116666666666,13.655783333333334,11664480920
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,05/09/2022,2022,9,4,45.749116666666666,13.655783333333334,11664480921
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,05/09/2022,2022,9,"2,50",45.749116666666666,13.655783333333334,11664480923
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,05/09/2022,2022,9,24,45.76743333333334,13.6308,11674480920
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,05/09/2022,2022,9,6,45.76743333333334,13.6308,11674480921
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,05/09/2022,2022,9,"2,20",45.76743333333334,13.6308,11674480923
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,19/09/2022,2022,9,21,45.60555,13.72195,11614482320
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,19/09/2022,2022,9,3,45.60555,13.72195,11614482321
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,19/09/2022,2022,9,"1,90",45.60555,13.72195,11614482323
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,19/09/2022,2022,9,20,45.68695,13.745716666666667,11634482320
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,19/09/2022,2022,9,2,45.68695,13.745716666666667,11634482321
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,19/09/2022,2022,9,"2,80",45.68695,13.745716666666667,11634482323
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,19/09/2022,2022,9,20,45.749116666666666,13.655783333333334,11664482320
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,19/09/2022,2022,9,2,45.749116666666666,13.655783333333334,11664482321
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,19/09/2022,2022,9,"2,20",45.749116666666666,13.655783333333334,11664482323
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,19/09/2022,2022,9,20,45.76743333333334,13.6308,11674482320
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,19/09/2022,2022,9,3,45.76743333333334,13.6308,11674482321
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,19/09/2022,2022,9,"2,20",45.76743333333334,13.6308,11674482323
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,19/06/2023,2023,6,24,45.60555,13.72195,11614509620
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,19/06/2023,2023,6,5,45.60555,13.72195,11614509621
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,19/06/2023,2023,6,"2,80",45.60555,13.72195,11614509623
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,19/06/2023,2023,6,23,45.68695,13.745716666666667,11634509620
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,19/06/2023,2023,6,5,45.68695,13.745716666666667,11634509621
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,19/06/2023,2023,6,"3,60",45.68695,13.745716666666667,11634509623
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,19/06/2023,2023,6,22,45.749116666666666,13.655783333333334,11664509620
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,19/06/2023,2023,6,4,45.749116666666666,13.655783333333334,11664509621
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,19/06/2023,2023,6,"1,40",45.749116666666666,13.655783333333334,11664509623
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,19/06/2023,2023,6,22,45.76743333333334,13.6308,11674509620
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,19/06/2023,2023,6,4,45.76743333333334,13.6308,11674509621
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,19/06/2023,2023,6,"1,70",45.76743333333334,13.6308,11674509623
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,24/07/2023,2023,7,27,45.60555,13.72195,11614513120
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,24/07/2023,2023,7,10,45.60555,13.72195,11614513121
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,24/07/2023,2023,7,"1,10",45.60555,13.72195,11614513123
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,24/07/2023,2023,7,28,45.68695,13.745716666666667,11634513120
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,24/07/2023,2023,7,3,45.68695,13.745716666666667,11634513121
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,24/07/2023,2023,7,"2,50",45.68695,13.745716666666667,11634513123
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,24/07/2023,2023,7,27,45.749116666666666,13.655783333333334,11664513120
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,24/07/2023,2023,7,8,45.749116666666666,13.655783333333334,11664513121
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,24/07/2023,2023,7,"2,80",45.749116666666666,13.655783333333334,11664513123
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,24/07/2023,2023,7,28,45.76743333333334,13.6308,11674513120
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,24/07/2023,2023,7,9,45.76743333333334,13.6308,11674513121
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,24/07/2023,2023,7,"3,90",45.76743333333334,13.6308,11674513123
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,07/08/2023,2023,8,21,45.60555,13.72195,11614514520
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,07/08/2023,2023,8,1,45.60555,13.72195,11614514521
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,07/08/2023,2023,8,"0,80",45.60555,13.72195,11614514523
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,07/08/2023,2023,8,21,45.68695,13.745716666666667,11634514520
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,07/08/2023,2023,8,1,45.68695,13.745716666666667,11634514521
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,07/08/2023,2023,8,"1,40",45.68695,13.745716666666667,11634514523
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,07/08/2023,2023,8,22,45.749116666666666,13.655783333333334,11664514520
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,07/08/2023,2023,8,1,45.749116666666666,13.655783333333334,11664514521
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,07/08/2023,2023,8,"2,20",45.749116666666666,13.655783333333334,11664514523
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,07/08/2023,2023,8,22,45.76743333333334,13.6308,11674514520
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,07/08/2023,2023,8,1,45.76743333333334,13.6308,11674514521
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,07/08/2023,2023,8,"2,20",45.76743333333334,13.6308,11674514523
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,21/08/2023,2023,8,28,45.60555,13.72195,11614515920
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,21/08/2023,2023,8,0,45.60555,13.72195,11614515921
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,21/08/2023,2023,8,"2,50",45.60555,13.72195,11614515923
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,21/08/2023,2023,8,30,45.68695,13.745716666666667,11634515920
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,21/08/2023,2023,8,0,45.68695,13.745716666666667,11634515921
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,21/08/2023,2023,8,"3,10",45.68695,13.745716666666667,11634515923
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,21/08/2023,2023,8,31,45.749116666666666,13.655783333333334,11664515920
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,21/08/2023,2023,8,0,45.749116666666666,13.655783333333334,11664515921
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,21/08/2023,2023,8,"4,70",45.749116666666666,13.655783333333334,11664515923
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,21/08/2023,2023,8,31,45.76743333333334,13.6308,11674515920
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,21/08/2023,2023,8,0,45.76743333333334,13.6308,11674515921
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,21/08/2023,2023,8,"4,70",45.76743333333334,13.6308,11674515923
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,04/09/2023,2023,9,25,45.60555,13.72195,11614517320
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,04/09/2023,2023,9,4,45.60555,13.72195,11614517321
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,04/09/2023,2023,9,"3,60",45.60555,13.72195,11614517323
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,04/09/2023,2023,9,25,45.68695,13.745716666666667,11634517320
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,04/09/2023,2023,9,4,45.68695,13.745716666666667,11634517321
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,04/09/2023,2023,9,"10,00",45.68695,13.745716666666667,11634517323
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,04/09/2023,2023,9,25,45.749116666666666,13.655783333333334,11664517320
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,04/09/2023,2023,9,3,45.749116666666666,13.655783333333334,11664517321
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,04/09/2023,2023,9,"10,00",45.749116666666666,13.655783333333334,11664517323
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,04/09/2023,2023,9,25,45.76743333333334,13.6308,11674517320
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,04/09/2023,2023,9,3,45.76743333333334,13.6308,11674517321
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,04/09/2023,2023,9,"10,00",45.76743333333334,13.6308,11674517323
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,18/09/2023,2023,9,23,45.60555,13.72195,11614518720
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,18/09/2023,2023,9,10,45.60555,13.72195,11614518721
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,18/09/2023,2023,9,"1,30",45.60555,13.72195,11614518723
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,18/09/2023,2023,9,24,45.68695,13.745716666666667,11634518720
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,18/09/2023,2023,9,10,45.68695,13.745716666666667,11634518721
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,18/09/2023,2023,9,"0,80",45.68695,13.745716666666667,11634518723
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,18/09/2023,2023,9,24,45.749116666666666,13.655783333333334,11664518720
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,18/09/2023,2023,9,10,45.749116666666666,13.655783333333334,11664518721
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,18/09/2023,2023,9,"1,10",45.749116666666666,13.655783333333334,11664518723
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,18/09/2023,2023,9,24,45.76743333333334,13.6308,11674518720
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,18/09/2023,2023,9,10,45.76743333333334,13.6308,11674518721
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,18/09/2023,2023,9,"1,60",45.76743333333334,13.6308,11674518723
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,24/06/2024,2024,6,24,45.60555,13.72195,11614546720
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,24/06/2024,2024,6,9,45.60555,13.72195,11614546721
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,24/06/2024,2024,6,"16,70",45.60555,13.72195,11614546723
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,24/06/2024,2024,6,9,45.68695,13.745716666666667,11634546721
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,24/06/2024,2024,6,"16,70",45.68695,13.745716666666667,11634546723
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,24/06/2024,2024,6,24,45.749116666666666,13.655783333333334,11664546720
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,24/06/2024,2024,6,7,45.749116666666666,13.655783333333334,11664546721
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,24/06/2024,2024,6,"16,70",45.749116666666666,13.655783333333334,11664546723
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,24/06/2024,2024,6,24,45.76743333333334,13.6308,11674546720
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,24/06/2024,2024,6,8,45.76743333333334,13.6308,11674546721
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,24/06/2024,2024,6,"16,70",45.76743333333334,13.6308,11674546723
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,22/07/2024,2024,7,25,45.60555,13.72195,11614549520
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,22/07/2024,2024,7,7,45.60555,13.72195,11614549521
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,22/07/2024,2024,7,"1,60",45.60555,13.72195,11614549523
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,22/07/2024,2024,7,26,45.68695,13.745716666666667,11634549520
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,22/07/2024,2024,7,8,45.68695,13.745716666666667,11634549521
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,22/07/2024,2024,7,"1,60",45.68695,13.745716666666667,11634549523
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,22/07/2024,2024,7,26,45.749116666666666,13.655783333333334,11664549520
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,22/07/2024,2024,7,4,45.749116666666666,13.655783333333334,11664549521
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,22/07/2024,2024,7,"1,00",45.749116666666666,13.655783333333334,11664549523
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,22/07/2024,2024,7,30,45.76743333333334,13.6308,11674549520
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,22/07/2024,2024,7,5,45.76743333333334,13.6308,11674549521
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,22/07/2024,2024,7,"1,90",45.76743333333334,13.6308,11674549523
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,05/08/2024,2024,8,"28,3",45.60555,13.72195,11614550920
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,05/08/2024,2024,8,9,45.60555,13.72195,11614550921
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,05/08/2024,2024,8,"1,6",45.60555,13.72195,11614550923
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,05/08/2024,2024,8,"27,6",45.68695,13.745716666666667,11634550920
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,05/08/2024,2024,8,8,45.68695,13.745716666666667,11634550921
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,05/08/2024,2024,8,"2,5",45.68695,13.745716666666667,11634550923
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,05/08/2024,2024,8,"28,0",45.749116666666666,13.655783333333334,11664550920
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,05/08/2024,2024,8,6,45.749116666666666,13.655783333333334,11664550921
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,05/08/2024,2024,8,"1,6",45.749116666666666,13.655783333333334,11664550923
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,05/08/2024,2024,8,"27,7",45.76743333333334,13.6308,11674550920
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,05/08/2024,2024,8,7,45.76743333333334,13.6308,11674550921
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,05/08/2024,2024,8,"3,9",45.76743333333334,13.6308,11674550923
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,19/08/2024,2024,8,"22,5",45.60555,13.72195,11614552320
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,19/08/2024,2024,8,10,45.60555,13.72195,11614552321
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,19/08/2024,2024,8,"0,3",45.60555,13.72195,11614552323
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,19/08/2024,2024,8,"23,1",45.68695,13.745716666666667,11634552320
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,19/08/2024,2024,8,10,45.68695,13.745716666666667,11634552321
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,19/08/2024,2024,8,"0,2",45.68695,13.745716666666667,11634552323
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,19/08/2024,2024,8,"25,2",45.749116666666666,13.655783333333334,11664552320
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,19/08/2024,2024,8,10,45.749116666666666,13.655783333333334,11664552321
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,19/08/2024,2024,8,"0,6",45.749116666666666,13.655783333333334,11664552323
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,19/08/2024,2024,8,"25,2",45.76743333333334,13.6308,11674552320
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,19/08/2024,2024,8,10,45.76743333333334,13.6308,11674552321
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,19/08/2024,2024,8,"0,6",45.76743333333334,13.6308,11674552323
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,02/09/2024,2024,9,"29,6",45.60555,13.72195,11614553720
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,02/09/2024,2024,9,3,45.60555,13.72195,11614553721
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,02/09/2024,2024,9,"1,7",45.60555,13.72195,11614553723
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,02/09/2024,2024,9,"31,2",45.68695,13.745716666666667,11634553720
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,02/09/2024,2024,9,4,45.68695,13.745716666666667,11634553721
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,02/09/2024,2024,9,"2,2",45.68695,13.745716666666667,11634553723
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,02/09/2024,2024,9,"29,0",45.749116666666666,13.655783333333334,11664553720
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,02/09/2024,2024,9,5,45.749116666666666,13.655783333333334,11664553721
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,02/09/2024,2024,9,"2,5",45.749116666666666,13.655783333333334,11664553723
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,02/09/2024,2024,9,"28,5",45.76743333333334,13.6308,11674553720
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,02/09/2024,2024,9,3,45.76743333333334,13.6308,11674553721
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,02/09/2024,2024,9,"2,8",45.76743333333334,13.6308,11674553723
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura aria,ambientali,°C,16/09/2024,2024,9,"17,0",45.60555,13.72195,11614555120
Punta Sottile - Muggia,Terrazza mare,attiva,,copertura cielo,ambientali,decimi,16/09/2024,2024,9,2,45.60555,13.72195,11614555121
Punta Sottile - Muggia,Terrazza mare,attiva,,intensità vento,ambientali,m/s,16/09/2024,2024,9,"1,9",45.60555,13.72195,11614555123
Barcola - Trieste,ex CEDAS,attiva,,temperatura aria,ambientali,°C,16/09/2024,2024,9,"18,6",45.68695,13.745716666666667,11634555120
Barcola - Trieste,ex CEDAS,attiva,,copertura cielo,ambientali,decimi,16/09/2024,2024,9,6,45.68695,13.745716666666667,11634555121
Barcola - Trieste,ex CEDAS,attiva,,intensità vento,ambientali,m/s,16/09/2024,2024,9,"1,7",45.68695,13.745716666666667,11634555123
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,temperatura aria,ambientali,°C,16/09/2024,2024,9,"18,9",45.749116666666666,13.655783333333334,11664555120
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,copertura cielo,ambientali,decimi,16/09/2024,2024,9,8,45.749116666666666,13.655783333333334,11664555121
Canovella de' Zoppoli - Duino-Aurisina,Pozza di marea,attiva,,intensità vento,ambientali,m/s,16/09/2024,2024,9,"1,4",45.749116666666666,13.655783333333334,11664555123
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,temperatura aria,ambientali,°C,16/09/2024,2024,9,"19,3",45.76743333333334,13.6308,11674555120
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,copertura cielo,ambientali,decimi,16/09/2024,2024,9,9,45.76743333333334,13.6308,11674555121
Sistiana - Duino-Aurisina,Spiaggia ex Castelreggio,attiva,,intensità vento,ambientali,m/s,16/09/2024,2024,9,"1,0",45.76743333333334,13.6308,11674555123
Grignano - Trieste,Diga porto,dismessa,,ossigeno disciolto,idrologici,% sat.,04/06/2009,2009,6,"110,50",45.7051,13.710883333333333,11643996814
Duino - Aurisina,Diga porto di Duino,dismessa,,temperatura,idrologici,°C,04/06/2009,2009,6,"18,62",45.77333333333333,13.598466666666667,11683996812
Duino - Aurisina,Diga porto di Duino,dismessa,,salinità,idrologici,psu,04/06/2009,2009,6,"35,67",45.77333333333333,13.598466666666667,11683996813
Duino - Aurisina,Diga porto di Duino,dismessa,,ossigeno disciolto,idrologici,% sat.,04/06/2009,2009,6,"100,10",45.77333333333333,13.598466666666667,11683996814
Grado - Morgo,Spiaggia,dismessa,,temperatura,idrologici,°C,03/06/2009,2009,6,"24,47",45.69801666666667,13.32265,11723996712
Grado - Morgo,Spiaggia,dismessa,,salinità,idrologici,psu,03/06/2009,2009,6,"29,01",45.69801666666667,13.32265,11723996713
Grado - Morgo,Spiaggia,dismessa,,ossigeno disciolto,idrologici,% sat.,03/06/2009,2009,6,"99,05",45.69801666666667,13.32265,11723996714
Punta Sottile - Muggia,Terrazza mare,attiva,,temperatura,idrologici,°C,25/06/2009,2009,6,"21,81",45.60555,13.72195,11613998912
